loan_id,is_first_loan,fully_repaid_previous_loans,currently_repaying_other_loans,total_credit_card_limit,avg_percentage_credit_card_limit_used_last_year,saving_amount,checking_amount,is_employed,yearly_salary,age,dependent_number,requested_loan_amount_adjusted,combined_savings_checking,combined_loan_payment
955066,1,1.0,1.0,13806.710904901556,10,275,1504.5303988847247,0,36020.347451368776,41,3,12607.12160797907,1779.5303988847247,12607.12160797907
899953,1,1.0,0.0,3401.403281776092,84,9054,1018.1183704745844,1,22064.272594536,38,1,11032.136297268,10072.118370474584,0.0
449665,0,1.0,0.0,14900.83425600982,15,3203,1621.7825628667172,0,36020.347451368776,49,2,18010.173725684388,4824.782562866717,0.0
546685,1,1.0,0.0,1079.1715046702898,60,1500,2468.4666101472103,0,25000.0,61,7,12500.0,3968.4666101472103,0.0
923296,1,1.0,0.0,4870.783857264927,50,5491,8011.4083832327715,0,72040.69490273755,50,1,36020.347451368776,13502.40838323277,0.0
636948,1,0.0,0.0,852.5052855903439,70,6090,902.9373022996818,1,66192.817783608,45,6,33096.408891804,6992.9373022996815,0.0
530296,1,1.0,0.0,16804.99587590483,23,1440,10379.90209566902,0,25000.0,62,3,12500.0,11819.90209566902,0.0
549371,0,0.0,0.0,15432.94408512598,48,8040,4207.50133699592,1,25000.0,23,5,12500.0,12247.50133699592,0.0
231225,0,1.0,1.0,8657.998607966041,60,7732,4316.113867842398,0,36020.347451368776,19,8,12607.12160797907,12048.113867842398,12607.12160797907
778983,1,0.0,0.0,1504.8593679632158,60,6474,396.1888909286273,1,108061.04235410632,20,8,54030.52117705316,6870.188890928627,0.0
821141,1,1.0,0.0,3233.6864565394226,78,2675,1132.6138370532076,1,44128.545189072,32,7,22064.272594536,3807.6138370532076,0.0
533110,1,1.0,0.0,9520.084297327316,70,9658,4927.418672458477,0,22064.272594536,27,0,11032.136297268,14585.418672458476,0.0
866556,0,1.0,0.0,8075.598280763273,70,6843,3118.116059877717,1,22064.272594536,19,8,6619.2817783608,9961.116059877717,0.0
334440,1,1.0,0.0,17298.406808357995,60,2841,4069.267206827676,0,108061.04235410632,29,8,54030.52117705316,6910.267206827676,0.0
662369,1,0.0,1.0,7003.620775623079,46,3235,4081.609539878412,1,72040.69490273755,55,8,25214.24321595814,7316.609539878412,25214.24321595814
906555,0,1.0,1.0,952.6050508501744,70,1385,3011.847812454444,1,44128.545189072,49,6,15444.9908161752,4396.847812454444,15444.9908161752
957312,1,1.0,0.0,8839.179805979147,32,1486,4332.158900808354,1,36020.347451368776,58,8,18010.173725684388,5818.158900808354,0.0
778003,0,1.0,0.0,10756.534231554722,60,5385,9880.03760711421,1,25000.0,25,4,12500.0,15265.03760711421,0.0
